room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_TV,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_WORKSPACE,SYSTEM_ELEVATOR,SYSTEM_SURVEILLANCE,isSuperHost,isVerified,yearHosting,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_JACUZZI,SYSTEM_BATHTUB,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_OCEAN,SYSTEM_WASHER,SYSTEM_PETS,SYSTEM_VIEW_CITY,SYSTEM_EV_CHARGER,SYSTEM_HIGH_CHAIR,SYSTEM_CRIB,SYSTEM_SMOKING_ALLOWED,SYSTEM_FLOWER,SYSTEM_LUGGAGE_DROP,SYSTEM_FIREPLACE,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_POOL,SYSTEM_CALENDAR,SYSTEM_BREAKFAST
653914407593700547,4.5,hanoi,9,21.02908,105.84633,REGULAR,Căn hộ Cừu_5 phút đến Nhà thờ Lớn,private_room,4,0,407126,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
555656581000472665,4.4,hanoi,10,21.04691,105.84154,REGULAR,Căn hộ ban công phong cách Hồ Trúc Bạch 1 phút,entire_home,35,0,488050,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
932989515764395215,0.0,hanoi,19,21.0341811,105.8329803,REGULAR,Le Petit * 5min to BaDinhsquare,private_room,1,0,440850,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
34050367,4.76,hanoi,30,21.03493,105.85111,REGULAR,Trang chủ của Trần - ANORAMA/Chế độ xem đặc biệt tại Qtr Cũ,private_room,131,0,416667,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
737539223434077240,4.83,hanoi,11,21.02056,105.8605,REGULAR,Ánh sáng mặt trời tự nhiên ở Hoàn Kiếm,private_room,24,0,362466,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.9166666666666666,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
759894198636603523,5.0,hanoi,25,21.0473528,105.8079001,REGULAR,Cozy room close to the center but quiet,private_room,6,0,278860,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
928201493480798167,0.0,hanoi,8,21.0353569,105.8108514,REGULAR,-25% The apartment has a nice view next to the bed,private_room,0,0,502118,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
929994321818418141,0.0,hanoi,7,21.034751692290822,105.79546683947677,REGULAR,Delightful amoureux chùa hà,entire_home,0,0,485600,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
856795244392164498,4.5,hanoi,6,21.0485115,105.8779099,REGULAR,La Vera @10 phút đến Khu phố cổ,private_room,4,0,436513,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
19884490,4.87,hanoi,14,21.03382,105.82192,REGULAR,Căn hộ 4C 3,private_room,31,0,269829,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
870795438399690443,4.6,hanoi,9,21.0330920230069,105.81121545284986,REGULAR,studio near west lake and lotte badinh,private_room,5,0,440168,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.8333333333333334,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
685220543219968997,4.52,hanoi,17,21.03,105.85084,REGULAR,"!!!Condo in center Old Quarter, Cathedral, Ho Guom",private_room,33,0,385546,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
17859872,4.7,hanoi,19,21.03071,105.85664,REGULAR,Căn hộ trung tâm hoàn hảo - Khu phố cổ Hà Nội,entire_home,109,0,397674,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
29223931,4.67,hanoi,30,21.078716278076172,105.81829833984375,REGULAR,Cozy studio apt in a peaceful alley near West Lake,entire_home,6,0,343018,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
45868684,4.73,hanoi,7,21.01805,105.84219,REGULAR,Căn hộ kiểu✯ Pháp Lagom Homestay Phòng✯ yên tĩnh,entire_home,117,0,488424,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
