room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_NO_DETECTOR_CO2,SYSTEM_WORKSPACE,SYSTEM_SURVEILLANCE,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_JACUZZI,SYSTEM_WASHER,isSuperHost,isVerified,yearHosting,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_HAIRDRYER,SYSTEM_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_REFRIGERATOR,SYSTEM_LUGGAGE_DROP,SYSTEM_EV_CHARGER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_FIREPLACE,SYSTEM_SMOKING_ALLOWED,SYSTEM_BREAKFAST,SYSTEM_BOAT_SAIL,SYSTEM_CALENDAR,SYSTEM_GYM
688919524356211527,4.78,quangninh,15,20.953805743054126,107.01305086214616,REGULAR,Studio hiện đại với bãi biển nhìn ra bãi biển & Netflix miễn phí,entire_home,23,0,895649,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
712145929448402488,4.87,quangninh,15,20.95389,107.01376,REGULAR,Căn hộ cao cấp với tầm nhìn tuyệt đẹp ra Vịnh Hạ Long,entire_home,15,0,950871,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
34055213,4.73,quangninh,9,20.95927,107.00689,REGULAR,Căn hộ Panorama Seaview 2BR,entire_home,22,0,957585,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
935772103561873829,0.0,quangninh,21,20.957257075790473,107.00026179631321,REGULAR,Căn hộ 5* LakeView Ala Carte,entire_home,0,0,838275,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
619813846412992695,5.0,quangninh,22,20.95543,107.01235,REGULAR,1-Bedroom Duplex in Hạ Long Bay,entire_home,3,0,974236,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
851724448012570798,5.0,quangninh,11,20.9534,107.0133,REGULAR,Luxury apartment citadines in Ha Long city,private_room,6,0,958589,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
857560235283428193,5.0,quangninh,10,20.95506,107.01342,REGULAR,2106 Studio đủ tiện nghi ở Citadines Hạ Long,entire_home,7,0,885553,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
23029573,4.91,quangninh,23,20.94947,107.07312,REGULAR,Superior room in HL center - Breakfast included,private_room,33,0,855883,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
836667692777296508,4.2,quangninh,15,20.96019225971029,107.00811333954334,REGULAR,"1 phòng ngủ , tầm nhìn ra biển Hạ Long",entire_home,10,0,825984,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
817228699978377872,0.0,quangninh,14,20.953795366228366,107.01305497437716,REGULAR,Sea View studio Citadin Marine,entire_home,0,0,860452,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
698187430550474976,4.88,quangninh,20,20.839567910179657,106.69477082750855,REGULAR,Một nơi giống như ngôi nhà ngọt ngào của bạn,entire_home,25,0,863491,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
48687799,5.0,quangninh,21,20.94939,107.10054,REGULAR,studio sang trọng tại trung tâm Hạ Long - cảng Hạ Long,entire_home,8,0,912942,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
672123367425696468,4.75,quangninh,30,20.954038030142403,107.01294332742691,REGULAR,Căn hộ Homestay ấm áp tuyệt vời view biển lãng mạn,entire_home,4,0,911998,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
764792211968108791,5.0,quangninh,30,20.73089,107.050934,REGULAR,Clean R-Big Vietnamese breakfast-Pickup n Dropoff,private_room,16,0,932707,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5833333333333334,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
866305590858088065,5.0,quangninh,30,20.95293968379295,107.02400537843475,REGULAR,Cozy apartment with Sea View Balcony,entire_home,5,0,935309,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
830735988313793593,5.0,quangninh,7,20.95552,107.01651,REGULAR,View vịnh mỗi sáng thức dậy,entire_home,3,0,918918,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
852586336963754687,0.0,quangninh,28,20.95318878988706,107.00105619206542,REGULAR,Căn hộ ngắm bình minh mặt biển,entire_home,0,0,858142,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
895455129319687418,5.0,quangninh,10,20.86319074720054,106.65883742272854,REGULAR,Cosy 2 beds apartment city view,entire_home,3,0,891436,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
861174722628342963,0.0,quangninh,13,20.953848065424065,107.0131030574059,REGULAR,Modern studio w impressive color,entire_home,0,0,972477,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
25894050,4.86,quangninh,25,20.73125,107.0586,REGULAR,Aroma House - Phòng đôi riêng,private_room,22,0,944205,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
861173819984719184,0.0,quangninh,7,20.95522,107.05,REGULAR,tiện nghi-sang trọng-ấm cúng,private_room,0,0,971412,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
882853265868253717,5.0,quangninh,16,20.86301,106.65835,REGULAR,"2BR/căn hộ/view thành phố/cách trung tâm 1,5km",entire_home,3,0,981412,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
838972876461893104,5.0,quangninh,30,20.730898829653373,107.0511332899332,REGULAR,Clean R-Big breakfast-Free laundry-Stay wit family,private_room,8,0,913672,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5833333333333334,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
53547954,4.42,quangninh,30,20.7321,107.05202,REGULAR,Ladu Cottage - Homestay and garden,entire_home,26,0,889430,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
901359374277792241,0.0,quangninh,22,20.96005,107.07006,REGULAR,rustic and clean apartment,entire_home,0,0,821647,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
921346018241552540,0.0,quangninh,15,20.840436822452187,106.69956503209983,REPRESENTATIVE,One Bedroom Apartment & Street View,private_room,0,0,830000,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
902563724560408538,0.0,quangninh,10,20.946636,107.0301145,REGULAR,"Zhomestay* 2 bedroom,city center",entire_home,0,0,796998,5.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
913297146566807333,0.0,quangninh,8,20.960336541895366,107.00804695487022,REGULAR,Căn hộ Greenbay Garden Hạ Long,entire_home,0,0,971153,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
878526075939383487,5.0,quangninh,10,20.849633237411723,106.68828874826431,REGULAR,Chung cư cao cấp SHP Lạch Tray,entire_home,4,0,981412,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
879634797273598657,0.0,quangninh,29,20.949251895626475,107.1021037467747,REGULAR,a rooftop house with a lovely garden (double room),private_room,1,0,944205,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.16666666666666666,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
39163915,4.8,quangninh,30,20.94877,107.07217,REGULAR,Queen Room  next to seacoast - Breakfast included,private_room,5,0,970000,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
43873028,4.75,quangninh,17,20.922,106.99225,REGULAR,Nhà lô @ cảng Tuần Châu.,entire_home,4,0,912942,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
887572219340753525,0.0,quangninh,7,20.960772,107.0705547,REGULAR,Hạc’s house,entire_home,0,0,897595,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
24587905,4.83,quangninh,30,20.73129,107.05755,REGULAR,AROMA HOUSE - Phòng ba riêng,private_room,6,0,944205,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,8.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
866960361362020741,0.0,quangninh,5,20.95297,107.02305,REGULAR,Homestay Bánh Bao,entire_home,0,0,897497,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
28351107,4.31,quangninh,16,20.77049,107.06924,REGULAR,Pho ̀ ng Lake View ơ ̉ Heart of Catba Island,private_room,13,0,907233,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
596590934292115929,0.0,quangninh,6,20.950937271118164,107.1020736694336,REGULAR,Khách Sạn Boutique Theo Phong Cách Indochine,private_room,0,0,907800,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
762522736841757298,4.33,quangninh,14,20.72229,106.78022,REGULAR,Marina aparment - Phòng mini ấm cúng,private_room,6,0,837624,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.6666666666666666,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
890455266788195520,0.0,quangninh,22,20.96123,107.01996,REGULAR,Luxury Studio Citadin Ha Long,entire_home,0,0,922071,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
920178685504703223,0.0,quangninh,11,20.86857918427377,106.66689420036772,REGULAR,Căn hộ tại Vinhome Imperia,entire_home,0,0,836283,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
21905025,4.94,quangninh,29,20.8044,106.95033,REGULAR,Ở Nhà Hải Đăng - Đảo Cát Bà,entire_home,16,0,912940,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
28877896,4.73,quangninh,25,20.79551,107.04784,REGULAR,Nông trại rừng Catba,private_room,16,0,890213,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
867114553923821174,0.0,quangninh,10,20.7251446,107.0490125,REGULAR,Thang Loi Hotel,private_room,0,0,836320,16.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
45852330,0.0,quangninh,15,20.95681,107.00773,REGULAR,Một studio rực rỡ và ấm cúng với ban công nhìn ra vịnh đẹp,entire_home,0,0,930990,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
