room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_TV,SYSTEM_NO_DETECTOR_CO2,SYSTEM_PETS,SYSTEM_JACUZZI,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_EV_CHARGER,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_LUGGAGE_DROP,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_SURVEILLANCE,SYSTEM_MAPS_RESORT,SYSTEM_VIEW_MOUNTAIN,SYSTEM_SNOWFLAKE,SYSTEM_FIREPLACE,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,isSuperHost,isVerified,yearHosting,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_LOCK_ON_DOOR,SYSTEM_DRYER,SYSTEM_GYM,SYSTEM_HIGH_CHAIR,SYSTEM_BOAT_SAIL,SYSTEM_CALENDAR,SYSTEM_GOLF,SYSTEM_BREAKFAST,SYSTEM_SAUNA,SYSTEM_SMOKING_ALLOWED,SYSTEM_BATHTUB
723404023003929072,4.6,quangninh,23,20.953959,107.013153,REGULAR,"Căn hộ sát biển, view biển tại toà khách sạn 5 sao",entire_home,10,0,1005884,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
877066494023698280,5.0,quangninh,13,20.9601875,107.0703125,REGULAR,"Green House - Apt 2Br, Bay view",entire_home,8,0,1000753,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
928896919931323251,0.0,quangninh,23,20.958723940987888,107.00124869443873,REGULAR,Apartment 5* SeaView Ala Carte,entire_home,0,0,1152142,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
7336424,4.92,quangninh,30,20.80742,107.0405,REGULAR,Nhà cổ Việt Hải - Nhà riêng,entire_home,71,0,1141121,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
867955555470733674,0.0,quangninh,30,20.95364910671932,107.01288599520922,REGULAR,Căn hộ hướng biển - Citadines 5*,entire_home,0,0,910884,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
935359804956214521,0.0,quangninh,12,20.970286529241548,107.0456026940857,REGULAR,Halongbay homestay(하롱바이홈스테이),entire_home,0,0,1091793,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
38942481,5.0,quangninh,28,20.94775,107.07364,REGULAR,Romantic room with bathtub - 100m to seacoast,private_room,31,0,1129765,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
937223037945164904,0.0,quangninh,22,20.9559921,107.0168588,REGULAR,Homestay 5*-Nghỉ dưỡng đẳng cấp,entire_home,0,0,1030489,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
26684212,4.9,quangninh,25,20.94143,107.1098,REGULAR,Sống cùng gia đình bản xứ Hạ Long Lily - Phòng hạng sang 201,private_room,94,0,1052096,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
42568790,5.0,quangninh,19,20.74167,107.04256,REGULAR,Blue Lagoon - Nhà Nghệ thuật,private_room,9,0,1079091,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
