room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_WORKSPACE,reviewCount,SYSTEM_SNOWFLAKE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_VIEW_OCEAN,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_LUGGAGE_DROP,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_PETS,SYSTEM_BOAT_SAIL,SYSTEM_EV_CHARGER,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_DRYER,SYSTEM_SAUNA,SYSTEM_FIREPLACE,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_GYM,SYSTEM_VIEW_CITY,SYSTEM_PATIO_BALCONY,SYSTEM_SMOKING_ALLOWED
928847345347198584,0.0,quangninh,30,20.95369078883761,107.0128833130002,REGULAR,Căn hộ 2 phòng ngủ Sea View,entire_home,0,2055635,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
921679754974134533,0.0,quangninh,17,20.95481190960358,107.0125579525224,REGULAR,Ha Long citadine hotel apartment,entire_home,0,2158135,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
47571359,4.9,quangninh,23,20.95767,107.00837,REGULAR,* Chung cư Homestay Hạ Long @ Sunrise - 4 BR,entire_home,0,2156825,10,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,21,1.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
720510120596811750,5.0,quangninh,30,20.95272,107.02352,REGULAR,Căn hộ 3 phòng ngủ đáng yêu với hồ bơi và tầm nhìn ra biển,entire_home,0,2152472,8,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5,2.0,0.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
864864237576059897,0.0,quangninh,10,20.951521017372855,107.01440353875284,REGULAR,A La Carte Hạ Long căn hộ 2 phòng ngủ,entire_home,0,2019883,5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0,2.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
756677633530996863,5.0,quangninh,24,20.73007,107.05545,REGULAR,Phòng riêng cho nhóm bạn bè hoặc gia đình,private_room,0,2158135,6,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6,1.0,0.0,2.0,1.0,1.0,8,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
746926825716414365,4.57,quangninh,26,20.95168,107.02424,REGULAR,Căn hộ trung tâm 3 phòng ngủ,entire_home,0,2092158,8,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,7,2.0,0.0,2.0,0.0,0.0,0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
896011071630508784,0.0,quangninh,17,20.95273,107.00144,REGULAR,Căn hộ 2614 ALaCarte HạLong view biển,entire_home,0,2013206,4,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0,2.0,2.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
754210308790248907,4.67,quangninh,30,20.9502676,107.0735789,REGULAR,Căn hô ̣ 2 pho ̀ ng ngu ̉ nhìn ra biển 1 phút,entire_home,0,2140848,6,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3,2.0,0.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
737354969886117504,4.64,quangninh,24,20.952189293605755,107.02472679587106,REGULAR,Homie hạ long,entire_home,0,2031295,6,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,14,2.0,0.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
