room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,reviewCount,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_ELEVATOR,SYSTEM_HAIRDRYER,SYSTEM_FIREPLACE,SYSTEM_VIEW_CITY,SYSTEM_SKI,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_GYM
795893894156886702,0.0,quangninh,9,20.95908,107.01478,REGULAR,Kỳ nghỉ với biệt thự nhỏ,entire_home,0,2852943,8.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
771301680706941890,5.0,quangninh,21,20.95076,107.07439,REGULAR,Căn hô ̣ 3 pho ̀ ng ngu ̉ nhìn ra biển 1 phút,entire_home,0,2852943,8.0,2.0,1.0,1,1.0,2.0,1.0,1.0,2.0,0.0,2.0,3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
629976410973765296,5.0,quangninh,16,20.8479,106.672272,REGULAR,"Our Home 1 - Nhà 4 tầng nguyên căn, 4 phòng ngủ",entire_home,0,2852943,8.0,2.0,1.0,1,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
851715012418588519,0.0,quangninh,29,20.9502676,107.0735789,REGULAR,Căn hộ S1 1810,entire_home,0,2852943,4.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
831858570174801169,0.0,quangninh,15,20.7319135,107.0592785,REGULAR,"Phòng nhìn ra biển, phòng tắm chung, Homestay nổi",private_room,0,2852943,2.0,1.0,1.0,1,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,6,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
41677492,0.0,quangninh,18,20.97012,107.04585,REGULAR,Sống cùng gia đình bản xứ LaLa Hạ Long 1,entire_home,0,2967060,6.0,2.0,1.0,1,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
31419477,0.0,quangninh,8,20.76792,107.07498,REGULAR,Nhà nổi Xinh (Phòng đôi),private_room,0,2967454,4.0,2.0,2.0,1,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
843873825503796838,0.0,quangninh,30,20.95807614286454,107.08355833809816,REGULAR,"Căn hộ chung cư cao cấp Suite 2 phòng ngủ, Ha Long",entire_home,0,2870745,4.0,2.0,1.0,1,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
35094652,0.0,quangninh,30,20.951365,107.070663,REGULAR,♥3BRs CĂN HỘ TẦM NHÌN★ RA BIỂN★ RỘNG RÃI♥ WALKTOCOAST★,entire_home,0,2852943,6.0,2.0,1.0,1,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
32932368,4.8,quangninh,30,20.95159,107.06914,REGULAR,★Căn hộ Overlook ♥2BRs★BestSeaView♥WalktoCoast★,entire_home,0,2875766,4.0,2.0,1.0,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0,20,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
835331167902479964,0.0,quangninh,12,20.952473384809295,107.02432986548327,REGULAR,Homestay Newlife Tower- Bãi Cháy,entire_home,0,2852943,4.0,1.0,1.0,1,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
