isVerified	SYSTEM_CRIB	price	SYSTEM_SMOKING_ALLOWED	weeklyPriceFactor	name	SYSTEM_SURVEILLANCE	city	SYSTEM_NO_DETECTOR_SMOKE	SYSTEM_BATHTUB	SYSTEM_POOL	SYSTEM_NO_DETECTOR_CO2	roomTypeCategory	SYSTEM_SNOWFLAKE	isSuperHost	SYSTEM_SKI	SYSTEM_CALENDAR	avgRatingLocalized	SYSTEM_COOKING_BASICS	contextualPicturesCount	maxGuestCapacity	SYSTEM_EV_CHARGER	SYSTEM_BEACH	SYSTEM_VIEW_CITY	room_id	SYSTEM_LUGGAGE_DROP	SYSTEM_PETS	SYSTEM_FLOWER	pdpUrlType	SYSTEM_NO_LOCK_ON_DOOR	SYSTEM_PIANO	SYSTEM_VIEW_OCEAN	coordinate	reviewCount	structuredStayDisplayPrice	SYSTEM_WI_FI	SYSTEM_REFRIGERATOR	SYSTEM_JACUZZI	canInstantBook	SYSTEM_HIGH_CHAIR	SYSTEM_VIEW_MOUNTAIN	SYSTEM_BREAKFAST	SYSTEM_HAIRDRYER	SYSTEM_ELEVATOR	SYSTEM_FIREPLACE	SYSTEM_MAPS_CAR_RENTAL	SYSTEM_SAUNA	SYSTEM_MICROWAVE	SYSTEM_TV	SYSTEM_LOCK_ON_DOOR	SYSTEM_PATIO_BALCONY	SYSTEM_DRYER	listingObjType	SYSTEM_WASHER	url	yearHosting	SYSTEM_WORKSPACE
		None		None	Khu phố cổ / PINKY HOME/ {Orchid garden Hanoi}		Hà nội	False			False	entire_home	True				4,41 (44)	True	30	2				39703917	True			None				{'__typename': 'Coordinate', 'latitude': 21.03202, 'longitude': 105.84704}		/ đêm	True			False							True			True				REGULAR	True	https://www.airbnb.com.vn/rooms/39703917		True
False		₫309.783		None	Vequehomestay-Villa15- Phố cổ -Bếp-Yên tĩnh		Hoàn Kiếm	False			False	private_room	True	False			4,71 (21)	True	15	2				719979493315673429				None	False		True	{'__typename': 'Coordinate', 'latitude': 21.02037, 'longitude': 105.84621}	21	/ đêm	True			False							True						True	REGULAR	True	https://www.airbnb.com.vn/rooms/719979493315673429	7	
True		₫374.770		None	Ngôi nhà của một kiến trúc sư (Xanh dương)		Hà Nội	False			False	private_room	True	True			4,84 (116)	True	28	2				21807270	True			None				{'__typename': 'Coordinate', 'latitude': 21.0235, 'longitude': 105.82509}	116	/ đêm	True			False										True	True			REGULAR	True	https://www.airbnb.com.vn/rooms/21807270	5	True
True		None		None	Căn hộ phong cách với không gian xanh gần hồ Tây		Tây Hồ	False			False	private_room		True			4,64 (14)	True	19	2				746322085943335360				None			True	{'__typename': 'Coordinate', 'latitude': 21.05207, 'longitude': 105.83968}	14	/ đêm	True			False										True	True			REGULAR	True	https://www.airbnb.com.vn/rooms/746322085943335360	6	True
True		₫428.294		None	Yue 越 HOMESTAY #1 @yueviet	True	Đống Đa				False	private_room	True	True			4,99 (73)		13	2				661518993434369023	True			None			True	{'__typename': 'Coordinate', 'latitude': 21.0222663, 'longitude': 105.831827}	73	/ đêm	True			False							True			True	True			REGULAR		https://www.airbnb.com.vn/rooms/661518993434369023	2	True
True		₫321.237		None	Ngôi nhà ấm cúng trong cửa sổ rộng ở giữa - Góc nhìn thoáng mát. R #302		Thanh Nhàn	False			False	private_room	True	True			4,76 (42)	True	14	2				36722199				None				{'__typename': 'Coordinate', 'latitude': 21.00339, 'longitude': 105.86218}	42	/ đêm	True			False				True							True	True		REGULAR	True	https://www.airbnb.com.vn/rooms/36722199	4	True
True		₫321.237		None	Sống cùng gia đình bản xứ Kim Hà Nội 4		Yên Phụ	False			False	private_room		True			4,6 (63)	True	16	2				18487010				None				{'__typename': 'Coordinate', 'latitude': 21.05487, 'longitude': 105.83704}	63	/ đêm	True			False							True			True	True		True	REGULAR	True	https://www.airbnb.com.vn/rooms/18487010	6	True
		None		None	Studio đáng yêu gần Lotte Center!		Ba Đình	False	True		False	entire_home	True				Mới	True	6	2				854756450592124929				None				{'__typename': 'Coordinate', 'latitude': 21.03227, 'longitude': 105.81061}		/ đêm	True			False							True			True			True	REGULAR	True	https://www.airbnb.com.vn/rooms/854756450592124929		
True		None		None	Mùa hoa lãng mạn ở Hà Nội, gần gũi và ấm áp		Truc Bach	False			False	private_room		False			4,56 (66)	True	30	2				37387228				None			True	{'__typename': 'Coordinate', 'latitude': 21.04902, 'longitude': 105.83982}	66	/ đêm	True			False							True				True		True	REGULAR	True	https://www.airbnb.com.vn/rooms/37387228	5	True
True		₫399.412		None	Căn hộ ấm cúng, thân thiện ở trung tâm thành phố		Ba Đình	False			False	private_room	True	True			5,0 (44)	True	23	2				52978253				None				{'__typename': 'Coordinate', 'latitude': 21.03442, 'longitude': 105.80733}	44	/ đêm	True			False					True					True	True			REGULAR	True	https://www.airbnb.com.vn/rooms/52978253	2	True
